state,county,tract_fips,social_vulnerability,resilience,heatwave_eals,heatwave_risk,flood_eals,flood_risk,tornado_eals,tornado_risk,winter_eals,winter_risk
Wisconsin,Monroe,55081950700,65.599998474121094,60.810001373291016,89.437959461681189,89.956238405555823,91.456655001526642,92.094372829757887,85.137724691691844,87.439946725015460,71.948469831129486,74.368548732340770
Wisconsin,Monroe,55081950800,62.279998779296875,60.810001373291016,88.984663081006175,89.165437853779196,89.805528806632680,90.374827569804495,81.476822515606457,83.647671597773865,71.673673579632194,73.612234219664174
Wisconsin,Monroe,55081950900,45.700000762939453,60.810001373291016,91.887638866054445,90.792227560291110,85.643657373699412,85.168624839461543,89.386440319300263,88.048803691195360,76.898325386945999,76.440089425866915
Wisconsin,Oconto,55083100300,22.010000228881836,81.860000610351562,24.587218451276510,22.088902630452363,53.771989571834553,51.582790277315326,68.124052150809419,63.409123341102600,68.183526317025624,63.937116491461730
Wisconsin,Oconto,55083100500,30.879999160766602,81.860000610351562,22.851539563614157,21.128050230699710,45.503440824858494,44.438234314798081,64.219795205793488,61.408933073300673,63.686967141884118,60.767968415544885
Wisconsin,Oconto,55083100600,49.040000915527344,81.860000610351562,24.395800549592504,23.528992056319272,52.186626582427131,52.581696237454210,65.865672870057949,65.580554630642624,65.897080583413583,65.820767730580783
Wisconsin,Oconto,55083100700,47.319999694824219,81.860000610351562,24.405195293233437,23.436236502877801,39.695140568851727,39.812348380345334,63.071207721517496,62.608809399229415,65.234751156727810,64.892023022404032
Wisconsin,Oconto,55083100800,20.139999389648438,81.860000610351562,23.809803414989315,21.265994387099845,57.884538600652938,55.319174237739624,64.078719977427966,59.401607762926325,63.975855508842805,59.062693240736344
Wisconsin,Oconto,55083100900,62.950000762939453,81.860000610351562,24.482701928271133,24.432764115492557,67.882894520515762,69.614232031584450,56.849790150597798,58.595347952242783,65.380369683162272,67.245397897540798
Wisconsin,Oconto,55083101000,47.220001220703125,81.860000610351562,27.548911384080604,26.807544118346570,70.664912981187030,70.632164771916479,65.115622905914577,64.589972886838225,72.468703760246143,72.149550492317942
Wisconsin,Oconto,55083101100,14.399999618530273,81.860000610351562,28.859478121990744,25.430480901869380,68.831763628250002,64.767159777386667,77.668966976640291,70.020929458212436,75.125067524719924,69.431099272225666
Wisconsin,Oconto,55083101200,56.529998779296875,81.860000610351562,27.714493740752051,27.643533273081861,44.744815275853163,45.736812062978643,72.045943499371035,73.272130523712121,72.855062592479499,73.760880939922941
Wisconsin,Oconto,55083101301,1.350000023841858,81.860000610351562,30.051436221434109,23.699043904295294,50.108039551870732,43.539218950673067,85.754928815791018,69.592826903867191,77.419733659017780,65.485420729677031
Wisconsin,Oconto,55083101302,13.670000076293945,81.860000610351562,28.282875731028490,24.712219949579030,58.715973412875499,54.977881368025493,81.771904868271008,73.487370974646808,73.914319937994691,68.015982495362223
Wisconsin,Oneida,55085970101,11.590000152587891,73.879997253417969,0,0,40.838950607135310,38.264044142130047,46.347915025687449,39.833753508062600,66.904666838903637,59.885601484088859
Wisconsin,Oneida,55085970103,11.430000305175781,73.879997253417969,0,0,38.758014890668669,36.419635637159303,43.702754493833837,37.457784331446511,54.414355168283343,47.627598344670126
